resource,logical_input,sample,min_eig,projection_frobenius
canonical,one,57,0.017833391554650115,7.335148259331654e-16
canonical,plus,57,0.017026705565808955,5.525060229996728e-16
canonical,plus_i,57,0.009953242158143008,4.193409208238104e-16
canonical,zero,58,0.0074651883599095034,1.2791306770173817e-16
canonical,one,58,0.021030974310672218,2.903818498427546e-16
canonical,plus,58,0.013618137155028983,3.956538806737841e-16
canonical,plus_i,58,0.002906200473509412,8.690501128415409e-16
canonical,zero,59,0.00940788742545607,3.58811758049383e-16
canonical,one,59,0.01980288347124275,3.9964592137850464e-16
canonical,plus,59,0.01214857431194643,5.070914515460471e-17
canonical,plus_i,59,0.014681082270768456,3.9824704277430755e-16
canonical,zero,60,0.01218578224234575,9.091912815225118e-17
canonical,one,60,0.018534672965721283,3.142777362896522e-16
canonical,plus,60,0.018056590796870827,5.331757511625208e-16
canonical,plus_i,60,0.012146382080582954,8.877598868123631e-16
canonical,zero,61,0.0099226871782012,3.3868337937534517e-16
canonical,one,61,0.018468328800883876,3.4694391592417477e-16
canonical,plus,61,0.010333688256189332,7.006834183017897e-16
canonical,plus_i,61,0.00923015862879157,3.808192184340798e-16
canonical,zero,62,0.00887520231295725,3.4645428921922207e-16
canonical,one,62,0.018704365447815258,3.8230057093345045e-16
canonical,plus,62,0.025396880457718558,3.0001831255140563e-16
canonical,plus_i,62,0.008877519156767094,1.0924179197003667e-15
canonical,zero,63,0.010507637602609749,1.1718176755148098e-16
canonical,one,63,0.015128582765691187,6.109748699215516e-16
canonical,plus,63,0.01249257877568443,2.2832298987958964e-16
canonical,plus_i,63,0.011937455802326838,4.550223822447258e-16
canonical,zero,64,0.0086728631722633,4.458976487607877e-16
canonical,one,64,0.017456969086255308,1.1339962793622704e-15
canonical,plus,64,0.0115846630045215,2.0073621860689309e-16
canonical,plus_i,64,0.015073913309589062,4.418877408898187e-16
canonical,zero,65,0.007798908857716998,1.6329250949235988e-16
canonical,one,65,0.012312981502889052,5.977966335463581e-16
canonical,plus,65,0.01302637045713185,3.433810521080063e-16
canonical,plus_i,65,0.017511915677642396,2.4601023927098586e-16
canonical,zero,66,0.007339045121155085,3.4919686262845343e-16
canonical,one,66,0.01443977091581008,4.535833357469812e-16
canonical,plus,66,0.015332344722420819,8.498418984193818e-16
canonical,plus_i,66,0.022774174368120247,4.650232982595193e-16
canonical,zero,67,0.011011605189004035,1.4864724151923136e-16
canonical,one,67,0.021276192913077994,5.922528424942353e-16
canonical,plus,67,0.014510961928326153,5.186634632843656e-16
canonical,plus_i,67,0.014896680814256009,6.185608949332915e-16
canonical,zero,68,0.008995914406541738,3.389190325398084e-16
canonical,one,68,0.01672850916726214,5.576053354176975e-16
canonical,plus,68,0.02013908304142954,1.6651312366211697e-16
canonical,plus_i,68,0.006898436908058758,7.19109316167611e-16
canonical,zero,69,0.010301777291277818,3.5622666429916205e-16
canonical,one,69,0.019001377015572512,7.432608957933616e-16
canonical,plus,69,0.007688864541486066,2.8503359626149386e-16
canonical,plus_i,69,0.01607988122105971,5.333104856058644e-16
canonical,zero,70,0.010188657100619135,5.730974129967718e-16
canonical,one,70,0.0190732934925202,8.682785427033684e-16
canonical,plus,70,0.016097138736086942,8.652577855674238e-16
canonical,plus_i,70,0.009587221433200134,4.2227958509912753e-16
canonical,zero,71,0.005275003892326027,2.277192128715067e-16
canonical,one,71,0.016506105403757295,6.174669109183395e-16
canonical,plus,71,0.014790136396900142,9.918045383338522e-16
canonical,plus_i,71,0.016895752058357194,4.686306587688624e-16
canonical,zero,72,0.008614424189066381,4.460326978438862e-16
canonical,one,72,0.018048128376596587,8.692750470293964e-16
canonical,plus,72,0.01742559520139482,2.3372220441935827e-16
canonical,plus_i,72,0.01938386847600037,6.914199365375454e-16
canonical,zero,73,0.00889865561362239,4.559733371265631e-16
canonical,one,73,0.018620685096335025,5.410733291667305e-16
canonical,plus,73,0.01679267453104082,7.397210055243714e-16
canonical,plus_i,73,0.016310657985182272,3.149066656457707e-16
canonical,zero,74,0.01036550695049008,3.362336265766683e-16
canonical,one,74,0.020997715338508516,4.027101753325231e-16
canonical,plus,74,0.003858038785495809,7.777028661862781e-16
canonical,plus_i,74,0.006322005206269403,3.398843946087097e-16
canonical,zero,75,0.008250376770601258,1.4581612331177076e-16
canonical,one,75,0.018951447160642038,3.11685063227682e-16
canonical,plus,75,0.005582985419935662,4.1474416386872904e-16
canonical,plus_i,75,0.011973484237186622,4.507427849365909e-16
canonical,zero,76,0.007739448650450211,3.373981417272125e-16
canonical,one,76,0.015863078544576588,6.372619786206667e-16
canonical,plus,76,0.013864809912573089,2.627148716551017e-16
canonical,plus_i,76,0.015655059238088815,5.422815541811253e-16
