resource,x,m,mode,sample,min_eig,projection_frobenius
canonical,0,0,recovered,79,0.009882872461249944,3.562936119529289e-16
canonical,0,0,raw,80,0.019149722283202063,3.464620250079886e-16
canonical,0,0,recovered,80,0.007892140200394698,3.4071145992373643e-16
canonical,0,0,raw,81,0.00975156438356927,5.066996843074732e-16
canonical,0,0,recovered,81,0.01566705763687267,5.768210706325417e-16
canonical,0,0,raw,82,0.015307794559830404,3.447634711146684e-16
canonical,0,0,recovered,82,0.0067197973304983704,4.814239360216533e-16
canonical,0,0,raw,83,0.0046305888238219375,2.962908522180698e-16
canonical,0,0,recovered,83,0.00956752124479415,8.634661930147482e-16
canonical,0,0,raw,84,0.007624956656354633,7.862648507224718e-16
canonical,0,0,recovered,84,0.008306553713513501,4.253982695859453e-16
canonical,0,0,raw,85,0.015714612274592497,3.1736492200394247e-16
canonical,0,0,recovered,85,0.0032434798931623844,2.6432915671562747e-16
canonical,0,0,raw,86,0.013248501862800584,1.716686155733047e-16
canonical,0,0,recovered,86,0.0060335175170915835,2.0377486813509463e-16
canonical,0,0,raw,87,0.009874700102380632,3.5230064792151896e-16
canonical,0,0,recovered,87,0.014639958759982297,4.07269055236222e-16
canonical,0,0,raw,88,0.007034416926196176,5.320180833711686e-16
canonical,0,0,recovered,88,0.0061751177621563015,2.1432354317269808e-16
canonical,0,0,raw,89,0.011873735049686496,2.994801524085799e-16
canonical,0,0,recovered,89,0.012033293270937901,4.306694503684388e-16
canonical,0,0,raw,90,0.018238570630224073,2.2168602044555252e-16
canonical,0,0,recovered,90,0.005788034112349747,3.136890501538583e-16
canonical,0,0,raw,91,0.008672380606801146,4.509122668967886e-16
canonical,0,0,recovered,91,0.01083836208132303,5.688029640022298e-16
canonical,0,0,raw,92,0.013921933436906956,2.439854112875181e-16
canonical,0,0,recovered,92,0.01619775549346514,3.572056383670231e-16
canonical,0,0,raw,93,0.02200009102804157,5.022125579235951e-16
canonical,0,0,recovered,93,0.008270422974345165,2.988058040192275e-16
canonical,0,0,raw,94,0.004064540805905883,7.16030098638557e-16
canonical,0,0,recovered,94,0.009205902592291761,1.772784273548037e-16
canonical,0,0,raw,95,0.010773818161341672,4.0600002810698166e-16
canonical,0,0,recovered,95,0.012178496942709503,2.745525313377998e-16
canonical,0,0,raw,96,0.014550661792067252,2.461825656317914e-16
canonical,0,0,recovered,96,0.009781907100346246,1.5497281084572283e-16
canonical,0,0,raw,97,0.01869744837145828,1.938977901881906e-16
canonical,0,0,recovered,97,0.00660231622295642,3.896425310703014e-16
canonical,0,0,raw,98,0.01875653527569969,3.857722358094831e-16
canonical,0,0,recovered,98,0.007803735550704429,7.488552657803564e-16
canonical,0,0,raw,99,0.014119241724592675,2.9766308113569645e-16
canonical,0,0,recovered,99,0.009835414590634922,3.3589382097026645e-16
canonical,0,0,raw,100,0.00723975780336106,3.7185730741802457e-16
canonical,0,0,recovered,100,0.006253443978932473,3.2535026677998383e-16
canonical,0,0,raw,101,0.017023426973602675,1.8312043099293217e-16
canonical,0,0,recovered,101,0.0072513505111677316,6.611392128707515e-16
canonical,0,0,raw,102,0.00527030848728924,5.594052874472401e-16
canonical,0,0,recovered,102,0.01028190079829909,6.718390666089334e-16
canonical,0,0,raw,103,0.01929288266476894,2.425838822222715e-16
canonical,0,0,recovered,103,0.004389647177136448,7.797251571022773e-16
canonical,0,0,raw,104,0.014783203865416636,3.580581244865853e-16
canonical,0,0,recovered,104,-0.0030111348403633045,0.0034769590212999015
canonical,0,0,raw,105,0.012770440043097601,5.037281235839457e-16
canonical,0,0,recovered,105,0.008450781490414913,3.4685428806004743e-16
canonical,0,0,raw,106,0.005348604880614693,2.5351220366967813e-16
canonical,0,0,recovered,106,0.011446547559683383,1.1985765524454946e-16
canonical,0,0,raw,107,0.018783894526288893,4.3879088479104e-16
canonical,0,0,recovered,107,0.010169097641237473,2.664809260170692e-16
canonical,0,0,raw,108,0.009431447014874776,6.206287653548771e-16
canonical,0,0,recovered,108,0.0070984760648779175,4.453873228845784e-16
canonical,0,0,raw,109,0.009966939525669878,5.832474228048279e-16
canonical,0,0,recovered,109,0.008722887004617671,2.70067296563882e-16
canonical,0,0,raw,110,0.01575609880023703,6.22927148132243e-16
canonical,0,0,recovered,110,0.00959286014548851,5.290209822649185e-16
canonical,0,0,raw,111,0.007302880796287265,4.863862904386962e-16
canonical,0,0,recovered,111,0.012735453149967997,2.870222071734382e-16
canonical,0,0,raw,112,0.010737576078678365,2.0555924219869595e-16
canonical,0,0,recovered,112,0.010567117679167919,5.928406375387293e-16
canonical,0,0,raw,113,0.011694054284516812,4.59436004495745e-16
canonical,0,0,recovered,113,0.009496293453312724,6.936864285541695e-16
canonical,0,0,raw,114,0.010012524219175515,8.890821675761894e-16
canonical,0,0,recovered,114,0.0031591827075898586,2.887064065635163e-16
canonical,0,0,raw,115,0.021561481901887624,1.6824386469452236e-16
canonical,0,0,recovered,115,0.007984553236888608,5.063253397986772e-16
canonical,0,0,raw,116,0.011887520407039477,6.513532941581283e-16
canonical,0,0,recovered,116,0.014530973023405534,4.450537798779074e-16
canonical,0,0,raw,117,0.008148431322160867,3.437357960052864e-16
canonical,0,0,recovered,117,0.0047066284255318155,6.255302719388469e-16
canonical,0,0,raw,118,0.0031606387556549135,4.095608112438119e-16
canonical,0,0,recovered,118,0.008819404391753802,2.0518284781209661e-16
canonical,0,0,raw,119,0.01156279733671341,3.785726286429342e-16
canonical,0,0,recovered,119,0.00804995797627461,2.7124250903223445e-16
canonical,0,0,raw,120,0.011825957441062991,6.322388849487086e-16
canonical,0,0,recovered,120,0.009447913298125665,4.1458380033678003e-16
canonical,0,0,raw,121,0.0093380949307145,4.64161480553998e-16
canonical,0,0,recovered,121,0.0042748012881263595,5.536402993832807e-16
canonical,0,0,raw,122,0.020784760825990616,4.499045550786541e-16
canonical,0,0,recovered,122,0.005560319330363028,3.063543268870549e-16
canonical,0,0,raw,123,0.006962118205671078,2.1650039246741373e-16
canonical,0,0,recovered,123,0.012950374317930998,3.252247988178109e-16
canonical,0,0,raw,124,0.01553045077066493,3.1306412357332775e-16
canonical,0,0,recovered,124,0.016427205234915393,3.7262449806868086e-16
canonical,0,0,raw,125,0.009832108427345292,3.3860062595107053e-16
canonical,0,0,recovered,125,0.010786993015453519,3.146365912687752e-16
canonical,0,0,raw,126,0.006564062578656362,6.160567831526172e-16
canonical,0,0,recovered,126,0.00321798874456263,3.4142943178597016e-16
canonical,0,0,raw,127,0.01821498407825224,2.5596578211160923e-16
canonical,0,0,recovered,127,0.009120968095521488,3.186669201201088e-16
canonical,0,0,raw,128,0.008623758459371574,5.132734466117311e-16
canonical,0,0,recovered,128,0.009736007455042254,5.530789779468083e-16
canonical,0,0,raw,129,0.015026127777358476,2.676327643092916e-16
canonical,0,0,recovered,129,0.009672838247351006,6.10946914068499e-16
canonical,0,0,raw,130,0.013682552438636883,1.743178325997564e-16
canonical,0,0,recovered,130,0.013418095214584376,3.254947551679941e-16
canonical,0,0,raw,131,0.01804336827062025,4.0313675224027176e-16
canonical,0,0,recovered,131,0.014112374511943913,7.64820799626437e-16
canonical,0,0,raw,132,0.003846500068812767,6.890136282910747e-16
canonical,0,0,recovered,132,0.005173845244947886,1.7041837256661002e-16
canonical,0,0,raw,133,0.01331363423403975,2.9000509178109286e-16
canonical,0,0,recovered,133,0.011444742156492597,2.743476283194496e-16
canonical,0,0,raw,134,0.017589617928642578,5.931388574841496e-16
canonical,0,0,recovered,134,0.009793079556256768,3.24204949420977e-16
canonical,0,0,raw,135,0.012534591048676406,8.169556681037726e-16
canonical,0,0,recovered,135,0.008626254241080166,2.1575465232571448e-16
canonical,0,0,raw,136,0.008325185697440193,2.428998598740049e-16
canonical,0,0,recovered,136,0.004137987251978319,5.600232410708516e-16
canonical,0,0,raw,137,0.014233488608552048,6.759851607293048e-16
canonical,0,0,recovered,137,0.015173299272107726,5.222108357372406e-16
canonical,0,0,raw,138,0.011856418410369053,3.831934315347593e-16
canonical,0,0,recovered,138,0.003348899031626017,2.7054961251168554e-16
canonical,0,0,raw,139,0.010333182645685545,3.839464688145372e-16
canonical,0,0,recovered,139,0.009064615388483953,4.2203613713674627e-16
canonical,0,0,raw,140,0.008798252822770788,4.150722418505261e-16
canonical,0,0,recovered,140,0.007717623099779604,5.338419490556617e-16
canonical,0,0,raw,141,0.01140251364787308,4.831305367767873e-16
canonical,0,0,recovered,141,0.016335963781428094,3.501827334920631e-16
canonical,0,0,raw,142,0.0074994293572699594,3.793014631570413e-16
canonical,0,0,recovered,142,0.014256301329549154,2.1037076240697059e-16
canonical,0,0,raw,143,0.016935442853266407,2.161404278923207e-16
canonical,0,0,recovered,143,0.004379474026632344,5.129791184524944e-16
canonical,0,0,raw,144,0.004552684392869543,6.397814458805833e-16
canonical,0,0,recovered,144,0.008798199639902403,3.5078643759739245e-16
canonical,0,0,raw,145,0.009368719784551048,3.359479116974253e-16
canonical,0,0,recovered,145,0.01144246032324458,4.298357218385407e-16
canonical,0,0,raw,146,0.006272066106788419,6.541264773207715e-16
canonical,0,0,recovered,146,0.010760677596563935,5.979848256585448e-16
canonical,0,0,raw,147,0.014969222071295946,2.86329890996952e-16
canonical,0,0,recovered,147,-0.0005722538147039845,0.0006607817879284801
canonical,0,0,raw,148,0.011627942773070981,2.5620961366006384e-16
canonical,0,0,recovered,148,0.018133947384856648,2.8019157380335657e-16
canonical,0,0,raw,149,0.016297225774502343,1.3858712221249797e-16
canonical,0,0,recovered,149,0.012583785887346655,2.9559988348030856e-16
canonical,0,0,raw,150,0.011030305736153639,6.110801979340125e-16
canonical,0,0,recovered,150,0.01004887562784832,5.066465499325476e-16
canonical,0,0,raw,151,0.014143670112073955,3.3944113932406965e-16
canonical,0,0,recovered,151,0.01280812100864346,7.383872432053089e-16
canonical,0,0,raw,152,0.01338371367946517,3.4848355998696816e-16
canonical,0,0,recovered,152,0.02007848235153211,4.645902330214146e-16
canonical,0,0,raw,153,0.017610840057055422,1.4364463609338792e-16
canonical,0,0,recovered,153,0.012869492367994373,6.010250466657393e-16
canonical,0,0,raw,154,0.01800490482807014,6.3807765583526795e-16
canonical,0,0,recovered,154,0.011122909234497543,3.800351171086878e-16
canonical,0,0,raw,155,0.010018957475085698,5.988126237453192e-16
canonical,0,0,recovered,155,0.01591387926036437,3.905161976963972e-16
canonical,0,0,raw,156,0.014451928863017416,3.5254600445163893e-16
canonical,0,0,recovered,156,0.01177787989387823,6.432249034833619e-16
canonical,0,0,raw,157,0.003815076911387142,4.722830460461755e-16
canonical,0,0,recovered,157,-0.005853691161673664,0.0067592603358904695
canonical,0,0,raw,158,0.013083671856198409,4.545203101053439e-16
canonical,0,0,recovered,158,0.004532680205777844,4.46339158978065e-16
canonical,0,0,raw,159,0.011314245375935882,1.7442491435696443e-16
canonical,0,0,recovered,159,0.009204310793664202,6.378134971415727e-16
canonical,0,0,raw,160,0.012470791600535349,5.0396348104761e-16
canonical,0,0,recovered,160,0.009757806272544125,5.470959793857451e-16
canonical,0,0,raw,161,0.005521444525502909,1.4781839219860568e-16
canonical,0,0,recovered,161,-0.004912518077078553,0.0056724872684003
canonical,0,0,raw,162,0.013714613741211966,2.3449906995671164e-16
canonical,0,0,recovered,162,0.014639508756647913,4.2354093859306875e-16
canonical,0,0,raw,163,0.00421871071132262,4.818201056956093e-16
canonical,0,0,recovered,163,0.008424625640067246,7.523444417399431e-16
canonical,0,0,raw,164,0.0033180561425766937,8.402673997223092e-16
canonical,0,0,recovered,164,0.004943604423188241,3.2723341043959784e-16
canonical,0,0,raw,165,0.005951417054216336,2.264428849324728e-16
canonical,0,0,recovered,165,0.011724443326340322,3.4704876299609073e-16
canonical,0,0,raw,166,0.017421036210865742,3.7359435879420153e-16
canonical,0,0,recovered,166,0.015677814640169478,4.352587652677027e-16
canonical,0,0,raw,167,0.013816753997726463,2.827093703068599e-16
canonical,0,0,recovered,167,0.001225348620941948,4.1364053535257236e-16
canonical,0,0,raw,168,0.022059100014625133,6.035541499473707e-16
canonical,0,0,recovered,168,0.005981422926186776,8.010669114161856e-16
canonical,0,0,raw,169,0.013604195011761421,6.432015110412903e-17
canonical,0,0,recovered,169,0.013609206669523373,4.539915839382245e-16
canonical,0,0,raw,170,0.0004020754005650232,9.25398558904557e-16
canonical,0,0,recovered,170,0.01365395365102819,3.8494448122731826e-16
canonical,0,0,raw,171,0.007868524979446217,3.1093617841937753e-16
canonical,0,0,recovered,171,0.009093226116473476,3.476692698319055e-16
canonical,0,0,raw,172,0.01304615808738518,6.207281565008803e-16
canonical,0,0,recovered,172,0.006520572814561268,3.6117311459183976e-16
canonical,0,0,raw,173,0.004997582719731656,7.509031774264236e-16
canonical,0,0,recovered,173,0.012055678216884837,3.677993475937242e-16
canonical,0,0,raw,174,0.006085148436557595,1.717376241217039e-16
canonical,0,0,recovered,174,0.01199221082456556,6.930828172974846e-16
canonical,0,0,raw,175,0.005213806105725574,2.0189323384359677e-16
canonical,0,0,recovered,175,0.008588125587157597,5.799651084738769e-16
canonical,0,0,raw,176,0.011292838212177978,5.019836154208886e-16
canonical,0,0,recovered,176,0.013331231695606193,7.071746756223567e-16
canonical,0,0,raw,177,0.019054012875246093,2.9039511971267293e-16
canonical,0,0,recovered,177,0.010539833943329295,3.403088003581512e-16
canonical,0,0,raw,178,0.016598582010830816,3.054523686835158e-16
canonical,0,0,recovered,178,0.008727193945803862,2.355474072080341e-16
canonical,0,0,raw,179,0.0174319518692433,3.748899660166656e-16
canonical,0,0,recovered,179,0.005035971227088492,2.316521696601575e-16
canonical,0,0,raw,180,0.01832652318611271,1.6628516294510862e-16
canonical,0,0,recovered,180,0.004992897345230546,3.375370549590041e-16
